DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2019-04-05 14:10:00	TZID=America/Denver	2019-04-05 17:10:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-06 18:10:00	TZID=America/Denver	2019-04-06 21:10:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-07 18:37:00	TZID=America/Denver	2019-04-07 21:37:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-08 18:40:00	TZID=America/Denver	2019-04-08 21:40:00	TZID=America/Denver	Braves @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-09 18:40:00	TZID=America/Denver	2019-04-09 21:40:00	TZID=America/Denver	Braves @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-18 18:40:00	TZID=America/Denver	2019-04-18 21:40:00	TZID=America/Denver	Phillies @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-19 18:40:00	TZID=America/Denver	2019-04-19 21:40:00	TZID=America/Denver	Phillies @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-20 18:10:00	TZID=America/Denver	2019-04-20 21:10:00	TZID=America/Denver	Phillies @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-21 13:10:00	TZID=America/Denver	2019-04-21 16:10:00	TZID=America/Denver	Phillies @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-22 18:40:00	TZID=America/Denver	2019-04-22 21:40:00	TZID=America/Denver	N@ionals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-23 18:40:00	TZID=America/Denver	2019-04-23 21:40:00	TZID=America/Denver	N@ionals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-04-24 13:10:00	TZID=America/Denver	2019-04-24 16:10:00	TZID=America/Denver	N@ionals @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
