DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2018-08-26 13:10:00-06:00	TZID=America/Denver	2018-08-26 16:10:00-06:00	TZID=America/Denver	St. Louis Cardinals @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-25 18:40:00-06:00	TZID=America/Denver	2018-07-25 21:40:00-06:00	TZID=America/Denver	Houston Astros @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-27 13:10:00-06:00	TZID=America/Denver	2018-05-27 16:10:00-06:00	TZID=America/Denver	Cincinnati Reds @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-23 20:10:00-06:00	TZID=America/Denver	2018-05-23 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-06-05 17:10:00-06:00	TZID=America/Denver	2018-06-05 20:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Cincinnati Reds	Away
2018-05-30 18:40:00-06:00	TZID=America/Denver	2018-05-30 21:40:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-08 18:10:00-06:00	TZID=America/Denver	2018-09-08 21:10:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-02 11:15:00-06:00	TZID=America/Denver	2018-08-02 14:15:00-06:00	TZID=America/Denver	Colorado Rockies @ St. Louis Cardinals	Away
2018-06-01 18:40:00-06:00	TZID=America/Denver	2018-06-01 21:40:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-07 18:40:00-06:00	TZID=America/Denver	2018-08-07 21:40:00-06:00	TZID=America/Denver	Pittsburgh Pirates @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-05 12:10:00-06:00	TZID=America/Denver	2018-08-05 15:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Milwaukee Brewers	Away
2018-05-19 14:05:00-06:00	TZID=America/Denver	2018-05-19 17:05:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-08-30 20:10:00-06:00	TZID=America/Denver	2018-08-30 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ San Diego Padres	Away
2018-07-30 18:10:00-06:00	TZID=America/Denver	2018-07-30 21:10:00-06:00	TZID=America/Denver	Colorado Rockies @ St. Louis Cardinals	Away
2018-08-21 18:40:00-06:00	TZID=America/Denver	2018-08-21 21:40:00-06:00	TZID=America/Denver	San Diego Padres @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-23 14:10:00-06:00	TZID=America/Denver	2018-09-23 17:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Arizona Diamondbacks	Away
2018-09-09 13:10:00-06:00	TZID=America/Denver	2018-09-09 16:10:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-19 11:35:00-06:00	TZID=America/Denver	2018-08-19 14:35:00-06:00	TZID=America/Denver	Colorado Rockies @ Atlanta Braves	Away
2018-06-15 18:05:00-06:00	TZID=America/Denver	2018-06-15 21:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Texas Rangers	Away
2018-09-28 18:10:00-06:00	TZID=America/Denver	2018-09-28 21:10:00-06:00	TZID=America/Denver	Washington Nationals @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-21 18:10:00-06:00	TZID=America/Denver	2018-07-21 21:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Arizona Diamondbacks	Away
2018-06-07 10:35:00-06:00	TZID=America/Denver	2018-06-07 13:35:00-06:00	TZID=America/Denver	Colorado Rockies @ Cincinnati Reds	Away
2018-07-31 18:15:00-06:00	TZID=America/Denver	2018-07-31 21:15:00-06:00	TZID=America/Denver	Colorado Rockies @ St. Louis Cardinals	Away
